"provincia","comune","codice_comune","codice_pp","data_di_campionamento","parametro","coord_est","coord_nord","standard_di_qualit_valore","valore_testuale","cas","wise","other","unita_di_misura","formula_parametro","unita_di_misura_testuale","segno","valore_numerico","anno"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Paration metile","545,694","5,035,362",,"<0,02","298-00-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Pendimetalin","545,694","5,035,362",,"<0,02","40487-42-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Pretilachlor","545,694","5,035,362",,"<0,02","51218-49-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Propazina","545,694","5,035,362",,"<0,02","139-40-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Secbutilazina","545,694","5,035,362",,"<0,02","7286-69-3",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","TCEP (tris-2cloroetil-fosfato)","545,694","5,035,362",,"<0,02","115-96-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Terbutrina","545,694","5,035,362",,"<0,02","886-50-0",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Thiobencarb","545,694","5,035,362",,"<0,02","28249-77-6",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Trifluralin","545,694","5,035,362",,"<0,02","1582-09-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-06-12","Rame","545,694","5,035,362",,"<2","7440-50-8",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Cromo totale","545,694","5,035,362",,"<2","7440-47-3",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Cromo VI","545,694","5,035,362",,"<2","18540-29-9",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Nichel","545,694","5,035,362",,"<2","7440-02-0",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Fluoruri","545,694","5,035,362",,"<250","16984-48-8",,,"µg/l",,"microgrammi per litro","<","250","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Ione Ammonio (NH4+)","545,694","5,035,362",,"<20","14798-03-9",,,"µg/l",,"microgrammi per litro","<","20","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Cloruro di Vinile","545,694","5,035,362",,"<0,25","75-01-4",,,"µg/l",,"microgrammi per litro","<","0,25","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Somma tricloroetilene + tetracloroetilene","545,694","5,035,362",,"2",,,"CHM-TTC-0","µg/l",,"microgrammi per litro",,"2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Nitrobenzene","545,694","5,035,362",,"<2,5","98-95-3",,,"µg/l",,"microgrammi per litro","<","2,5","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Esaclorobenzene","545,694","5,035,362",,"<0,02","118-74-1",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Triclorobenzeni","545,694","5,035,362",,"<2","12002-48-1",,,"µg/l",,"microgrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Azoto organico","545,694","5,035,362",,"<2",,,"CHM-AZO-0","mg/l",,"milligrammi per litro","<","2","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Durezza (totale)","545,694","5,035,362",,"270",,,"CASID20001","mg/l","CaCO3","milligrammi per litro",,"270","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Alachlor","545,694","5,035,362",,"<0,02","15972-60-8",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Atrazina","545,694","5,035,362",,"<0,02","1912-24-9",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
"BG","ARZAGO D'ADDA","016013","PO0160130R0002","2019-11-25","Metolachlor","545,694","5,035,362",,"<0,02","51218-45-2",,,"µg/l",,"microgrammi per litro","<","0,02","2,019"
